id,matchdate,teamId,playerId,firstName,lastName,position,fullPosition
3920,2016-12-03,21,3507,Danny,Rose,D,Left Full Back
3921,2016-12-03,21,4666,Jan,Vertonghen,D,Centre Central Defender
3922,2016-12-03,21,4664,Hugo,Lloris,G,Goalkeeper
3923,2016-12-03,21,3955,Kyle,Walker,D,Right Full Back
3924,2016-12-03,21,4123,Mousa,Dembélé,M,Left/Centre Central Midfielder
3925,2016-12-03,21,3960,Harry,Kane,F,Centre Striker
3926,2016-12-03,21,4845,Christian,Eriksen,M,Left/Centre/Right Attacking Midfielder
3927,2016-12-03,45,10518,Jefferson,Montero,M,Left/Right Winger
3928,2016-12-03,45,2889,Jack,Cork,M,Centre Central Midfielder
3929,2016-12-03,45,3309,Lukasz,Fabianski,G,Goalkeeper
3930,2016-12-03,45,10520,Modou,Barrow,F,Left/Right Second Striker
3931,2016-12-03,45,4835,Jordi,Amat Maas,D,Centre Central Defender
3932,2016-12-03,45,7482,Jay,Fulton,M,Centre Attacking Midfielder
3933,2016-12-03,45,4402,Neil,Taylor,D,Left Full Back
3934,2016-12-03,45,4421,Gylfi,Sigurdsson,M,Centre Attacking Midfielder
3935,2016-12-03,45,3956,Kyle,Naughton,D,Right Full Back
3936,2016-12-03,45,4810,Leroy,Fer,M,Centre Central Midfielder
3937,2016-12-03,45,4877,Mike,van der Hoorn,D,Centre Central Defender
3938,2016-12-03,36,4437,Gareth,McAuley,D,Centre Central Defender
3939,2016-12-03,36,6030,Salomón,Rondón,F,Centre Striker
3940,2016-12-03,36,13821,Allan-Roméo,Nyom,D,Right Full Back
3941,2016-12-03,36,3744,Chris,Brunt,M,Left Attacking Midfielder
3942,2016-12-03,36,2932,Ben,Foster,G,Goalkeeper
3943,2016-12-03,36,3156,Jonny,Evans,D,Centre Central Defender
3944,2016-12-03,36,4673,Claudio,Yacob,M,Centre Defensive Midfielder
3945,2016-12-03,36,4074,Matt,Phillips,M,Left/Right Winger
3946,2016-12-03,36,4198,Craig,Dawson,D,Centre Central Defender
3947,2016-12-03,36,1943,Darren,Fletcher,M,Centre Central Midfielder
3948,2016-12-03,36,2529,James,Morrison,M,Right Winger
3949,2016-12-03,33,4843,Etienne,Capoue,M,Centre Defensive Midfielder
3950,2016-12-03,33,5671,Juan Camilo,Zuñiga,D,Left/Right Wing Back
3951,2016-12-03,33,3719,Heurelho,da Silva Gomes,G,Goalkeeper
3952,2016-12-03,33,9947,Troy,Deeney,F,Centre Striker
3953,2016-12-03,33,4004,Adlène,Guédioura,M,Centre Central Midfielder
3954,2016-12-03,33,5713,José,Holebas,D,Left Full Back
3955,2016-12-03,33,3889,Stefano,Okaka,F,Centre Striker
3956,2016-12-03,33,13822,Sebastian,Prödl,D,Centre Central Defender
3957,2016-12-03,33,19605,Christian,Kabasele,D,Centre Central Defender
3958,2016-12-03,33,5490,Nordin,Amrabat,M,Left/Centre/Right Attacking Midfielder
3959,2016-12-03,33,11213,Roberto,Pereyra,M,Left/Centre/Right Central Midfielder
3960,2016-12-03,25,3014,Mark,Noble,M,Centre Central Midfielder
3961,2016-12-03,25,11284,Arthur,Masuaku,D,Left Full Back
3962,2016-12-03,25,13871,Pedro,Obiang,M,Left/Centre Central Midfielder
3963,2016-12-03,25,5514,Angelo,Ogbonna,D,Left/Centre Central Defender
3964,2016-12-03,25,5586,Dimitri,Payet,M,Left/Centre/Right Attacking Midfielder
3965,2016-12-03,25,15759,Edimilson,Fernandes,M,Centre Attacking Midfielder
3966,2016-12-03,25,13872,Manuel,Lanzini,M,Left/Centre/Right Attacking Midfielder
3967,2016-12-03,25,13145,Ashley,Fletcher,F,Centre Striker
3968,2016-12-03,25,2216,Darren,Randolph,G,Goalkeeper
3969,2016-12-03,25,4209,Winston,Reid,D,Centre/Right Central Defender
